label,value
Balkum Pada No.1 (BEST),"19.221746,72.991067"
Ballard Pier (BEST),"18.937162,72.840365"
Baman Pada (BEST),"19.104378,72.858548"
Baman Pada (Chakala) (BEST),"19.104613,72.858861"
Bamandaya Pada (BEST),"19.122938,72.886888"
Bamandongri (Local-Bsu),"18.97506096,73.02437035"
Bandongri (BEST),"19.199228,72.861"
Bandra (E) Bus Station (BEST),"19.055568,72.845305"
Bandra (E) Phatak (BEST),"19.057209,72.841333"
"Bandra (E) Phatak, Gate No.18 (BEST)","19.056225,72.841409"
Bandra (Local-Habr),"19.05426186,72.84100144"
Bandra (W) Bus Station (BEST),"19.054001,72.839767"
Bandra Bus Station (BEST),"19.055766,72.844877"
Bandra Colony (BEST),"19.0623,72.848521"
Bandra Colony Bus Station (BEST),"19.061732,72.850631"
Bandra Depot (BEST),"19.071578,72.835051"
Bandra Police Station (BEST),"19.055552,72.835738"
Bandra Railway Terminus (BEST),"19.062603,72.841547"
Bandra Reclamation Bus Station (BEST),"19.04794,72.82707"
Bandra Station (E) (BEST),"19.054996,72.842047"
Bandra Talao (BEST),"19.058878,72.83774"
Bandra Talkies (BEST),"19.059428,72.835555"
"Bandra Talkies, Shroff Eye Hospital (BEST)","19.060296,72.837179"
Bangali Naka (VVMT),"19.3630102,72.80363855"
Bangur Hall (BEST),"19.165703,72.832879"
Bangur Nagar (BEST),"19.168704,72.83532"
Bangur Nagar (Metro),"19.19550698,72.8336664"
Bangur Nagar Police Chowky (BEST),"19.166274,72.835151"
Bank Of Baroda (Bkc) (BEST),"19.06136,72.862983"
Bank Of Baroda (Jogeshwari -E) (BEST),"19.136771,72.853452"
Bank Of Baroda (Malad-W) (BEST),"19.178632,72.834087"
Bank Of India (Bandra-W) (BEST),"19.055314,72.83133"
Bank Of India (Bkc) (BEST),"19.061006,72.860408"
Bank Of Maharashtra (Andheri-W) (BEST),"19.140873,72.825807"
Bank Of Maharashtra (Kandivali-W) (BEST),"19.213011,72.828393"
Banubai Tandel Market (BEST),"19.014182,73.01657"
Banwari Compound (BEST),"19.046546,72.85104"
Bapa Sitaram Mandir (VVMT),"19.41146237,72.88488861"
Bapane Bridge (VVMT),"19.36581209,72.89409188"
Barkat Ali Dargah (BEST),"19.019976,72.865685"
Barve Nagar (BEST),"19.097991,72.902066"
Basant Park (BEST),"19.049918,72.893504"
Basant Talkies (BEST),"19.045874,72.904137"
Bawla Masjid (BEST),"18.994514,72.831187"
Bayer House (BEST),"19.119577,72.912371"
Begdewadi (Local-Pune-Lnl),"18.70091799,73.7086998"
Behram Baug (BEST),"19.145605,72.836868"
Bela Nivas (BEST),"19.114227,72.861764"
Belapur Cbd (Local-Trans),"19.01901167,73.03928553"
Belapur Terminal (Metro),"19.02776,72.891277"
Belpada (Metro),"19.043849,72.893397"
Belpada Village (BEST),"19.029007,73.060233"
BEST Colony (Bhoiwada) (BEST),"19.005448,72.848018"
BEST Colony (Wadala) (BEST),"19.012688,72.853807"
BEST Nagar (Goregaon-W) (BEST),"19.153242,72.841283"
"BEST Nagar, Oshiwara Staff Quarters (BEST)","19.153791,72.838935"
BEST Officer Quarters (Gorai) (BEST),"19.225437,72.833946"
BEST Power House (Kussara) (BEST),"18.96902,72.845251"
BEST Quarries (Chandivali) (BEST),"19.111804,72.90095"
BEST Receiving Centre ( Sion) (BEST),"19.043459,72.872901"
BEST Receiving Centre (Worli) (BEST),"18.998447,72.822598"
Beverly Park (BEST),"19.286779,72.867484"
Bhabola (VVMT),"19.36666173,72.8155622"
Bhabrekar Nagar (BEST),"19.205402,72.824281"
Bhabrekar Nagar No.1 (BEST),"19.205447,72.824034"
Bhagatsingh Nagar (BEST),"19.156978,72.835301"
"Bhagatsingh Nagar, Sejal Park (BEST)","19.155145,72.83689"
Bhagwati Hospital (BEST),"19.240573,72.854479"
Bhaidaya Nagar (BEST),"19.310397,72.857651"
Bhaindarpada (VVMT),"19.28364191,72.9524215"
Bhaji Market (BEST),"19.307168,72.849755"
Bhakti Bhavan (Chembur) (BEST),"19.052203,72.891442"
Bhakti Palace (Dahisar) (BEST),"19.2559,72.84958"
Bhakti Park (Mono),"19.029072,72.877532"
Bhakti Park Gate (Anik) (BEST),"19.033009,72.879547"
Bhakti Park Mono Rail Station (BEST),"19.029512,72.87782"
Bhamta Pada (VVMT),"19.47430758,72.88115874"
Bhandup (Local-CR),"19.14234843,72.93773249"
Bhandup Peoples School (BEST),"19.140024,72.925616"
Bhandup Police Station (BEST),"19.151382,72.937487"
Bhandup Pumping Centre (BEST),"19.154997,72.955824"
Bhandup Station (E) (BEST),"19.142483,72.939151"
Bhandup Station (W) (BEST),"19.144299,72.93782"
Bhandup Station (W) Road (BEST),"19.146711,72.936489"
Bhandup Village (E) (BEST),"19.144219,72.950035"
Bhandup Village (E) Junction (BEST),"19.155728,72.94916"
Bhandup Village (W) (BEST),"19.151662,72.943295"
Bharani Naka (Antop Hill) (BEST),"19.025616,72.871116"
Bharat Diamond Bourse (BEST),"19.064053,72.865432"
Bharat Nagar (Bandra-E) (BEST),"19.065186,72.854619"
Bharat Nagar (Bkc) (BEST),"19.061638,72.859258"
Bharat Nagar (Vesave) (BEST),"19.125413,72.822579"
Bharat Petroleum (Mahul) (BEST),"19.013801,72.898297"
Bharat Petroleum (Mono),"19.035368,72.895426"
Bharati Vidyapith (BEST),"19.026416,73.056802"
Bharatiya Arogya Nidhi Hospital (BEST),"19.111613,72.828521"
Bharatmata Cinema (BEST),"18.995151,72.837749"
"Bharatmata Cinema, Mahadeo Palav Marg (BEST)","18.995213,72.83528"
Bhaskar Ali (VVMT),"19.34809646,72.79620974"
Bhati Village (BEST),"19.158618,72.78616"
Bhatia Hospital (BEST),"18.965049,72.812969"
Bhatpada (VVMT),"19.46982473,72.84464092"
Bhavans College (BEST),"19.12471,72.838471"
Bhavishya Nidhi Bhavan (Charkop) (BEST),"19.215335,72.831035"
Bhayandar (Local-WR),"19.3115543,72.85266227"
Bhayander Market (BEST),"19.307776,72.855369"
Bhayander Pada (BEST),"19.283369,72.952301"
Bhayander Phatak (Police Chowky) (BEST),"19.298796,72.854937"
"Bhayander Phatak, Janaki Residency (BEST)","19.297973,72.852397"
Bhayander Police Station (BEST),"19.300409,72.846953"
Bhayander Railway Station (W) (BEST),"19.311839,72.851741"
Bhayander Station (E) (BEST),"19.309817,72.853379"
Bhivandi Road (Local-Pnvl-Bsr),"19.268462,73.046174"
Bhivpuri Road (Local-CR),"18.97047852,73.33144969"
Bhoir Pada (VVMT),"19.45490107,72.81823411"
"Bhoiwada, Mane Master Chowk (BEST)","19.005491,72.844979"
Bhoiwada/Mane Master Chk (BEST),"19.00541,72.844779"
Bhowali (VVMT),"19.48891027,73.0058655"
Bhuigav Phata (VVMT),"19.39121718,72.78191864"
Bhuleshwar (BEST),"18.952803,72.830032"
